move_name,category,Categorization,Points,,,move_name_Portuguese,category_Portuguese,Categorization_Portuguese
50/50 Guard,Position,Neutral Position,0,,,Guarda 50/50,Posição,Posição Neutra
Abe Lock,Leg Lock,Submission,0,,,Chave de Abe,Finalização de Perna,Finalização de Perna
Americana,Joint Lock,Submission,0,,,Americana,Chave de Articulação,Finalização
Anaconda,Strangle,Submission,0,,,Anaconda,Estrangulamento,Finalização
Ankle Pick,Takedown,Takedown,2,,,Pegada no Tornozelo,Queda,Queda
Aoki Lock,Leg Lock,Submission,0,,,Chave de Aoki,Finalização de Perna,Finalização de Perna
Arm Bar,Joint Lock,Submission,0,,,Chave de Braço,Chave de Articulação,Finalização
Arm Drag,Takedown,Takedown,2,,,Puxada de Braço,Queda,Queda
Arm in RNC,Strangle,Submission,0,,,Mata Leão com Braço,Finalização,Finalização
Arm Throw,Takedown,Takedown,2,,,Arremesso de Braço,Queda,Queda
Arm Triangle,Strangle,Submission,0,,,Triângulo de Braço,Estrangulamento,Finalização
Back,Position,Chest to Back,4,,,Pegada nas costas,Posição,Peito para Trás
Banana Split,Spinal Lock,Submission,0,,,Divisão de Banana,Chave Espinhal,Finalização
Baratoplata,Joint Lock,Submission,0,,,Baratoplata,Finalização,Finalização
Baseball Choke,Choke,Submission,0,,,Estrangulamento Baisebol,Estrangulamento,Finalização
Berimbolo,Transition,Back Take,0,,,Berimbolo,Transição,Pegada nas Costas
Body Lock,Takedown,Takedown,2,,,Fechamento de Corpo,Queda,Queda
Body Lock Pass,Transition,Passing,3,,,Passagem com Corpo,Transição,Passagem
Bolo Sweep,Transition,Sweep,2,,,Raspagem Bolo,Transição,Raspagem
Bow and Arrow,Choke,Submission,0,,,Arco e Flecha,Estrangulamento,Finalização
Buggy Choke,Choke,Submission,0,,,Buggy Choke,Estrangulamento,Finalização
Butterfly Guard,Position,Bottom Position,0,,,Guarda Borboleta,Posição,Posição Inferior
Calf Slicer,Leg Lock,Submission,0,,,Chave de Penturrilha,Chave de Perna,Finalização
Can Opener,Crank,Submission,0,,,Abridor de lata,Manivela,Finalização
Choi Bar,Joint Lock,Submission,0,,,Chave de Choi,Finalização,Finalização
Closed Guard,Position,Neutral Position,0,,,Guarda Fechada,Posição,Posição Neutra
Collar Drag,Takedown,Takedown,2,,,Arrastar Colarinho,Queda,Queda
